<s>at</s>	<s>atlarız</s>	<s>atız</s>
<s>kot</s>	<s>kotları</s>	<s>kotları</s>
<s>haç</s>	<s>haçımızın</s>	<s>haçımızın</s>
<s>baz</s>	<s>bazlardır</s>	<s>bazlardır</s>
<s>azdı</s>	<s>azarlar</s>	<s>azırlar</s>
<s>cami</s>	<s>camilerimi</s>	<s>camilerimi</s>
<s>kora</s>	<s>korlarının</s>	<s>korlarının</s>
<s>dadı</s>	<s>dadında</s>	<s>dadısında</s>
<s>popo</s>	<s>poposu</s>	<s>poposu</s>
<s>lord</s>	<s>lordların</s>	<s>lordların</s>
<s>içim</s>	<s>içleri</s>	<s>içleri</s>
<s>dağa</s>	<s>dağının</s>	<s>dağının</s>
<s>aşın</s>	<s>aşlarından</s>	<s>aşlarından</s>
<s>deney</s>	<s>deneylerinizden</s>	<s>deneylerinizden</s>
<s>görür</s>	<s>görüyordum</s>	<s>görüyordum</s>
<s>çinko</s>	<s>çinkoda</s>	<s>çinkoda</s>
<s>döner</s>	<s>dönecekler</s>	<s>dönecekler</s>
<s>tütün</s>	<s>tütülerin</s>	<s>tütülerin</s>
<s>ojesi</s>	<s>ojenizden</s>	<s>ojenizden</s>
<s>aklar</s>	<s>akımda</s>	<s>akımda</s>
<s>ayına</s>	<s>ayıları</s>	<s>ayıları</s>
<s>işimi</s>	<s>işimizden</s>	<s>işimizden</s>
<s>ekini</s>	<s>ekinin</s>	<s>ekinin</s>
<s>üçgen</s>	<s>üçgenin</s>	<s>üçgenin</s>
<s>haber</s>	<s>haberimize</s>	<s>haberimize</s>
<s>fener</s>	<s>fenerler</s>	<s>fenerler</s>
<s>görüş</s>	<s>görüşlerimizi</s>	<s>görüşlerimizi</s>
<s>peder</s>	<s>pederlerimiz</s>	<s>pederlerimiz</s>
<s>bildi</s>	<s>bilmeyeceksiniz</s>	<s>bilmeyeceksiniz</s>
<s>mügene</s>	<s>mügelerinin</s>	<s>mügelerinin</s>
<s>cüceni</s>	<s>cücelerimize</s>	<s>cücelerimize</s>
<s>uydusu</s>	<s>uydumuza</s>	<s>uydumuza</s>
<s>karnım</s>	<s>karnılarınızda</s>	<s>karınlarınızda</s>
<s>kocaya</s>	<s>kocaları</s>	<s>kocaları</s>
<s>laleme</s>	<s>laleymişsiniz</s>	<s>laleymişsiniz</s>
<s>kenara</s>	<s>kenardan</s>	<s>kenardan</s>
<s>kalfan</s>	<s>kalfanızdan</s>	<s>kalfanızdan</s>
<s>kocama</s>	<s>kocamda</s>	<s>kocamda</s>
<s>kirişi</s>	<s>kirişinize</s>	<s>kirişinize</s>
