otuz bircimiz	otuz birciNNOMSGPSS1P
heyetlerinin	heyetNGENPLPSS3P
kötüleştirmiyor	kötüleştirmekVIND3SGPRSPROGNEGDECL
eşyayız	eşyaNLGSPEC11PSGPRS
yontuyor muydunuz?	yontmakVIND2PLPSTPROGPOSINTR
altınımızı	altınNACCSGPSS1P
dirseğinizden	dirsekNABLSGPSS2P
boğmuyordum	boğmakVIND1SGPSTPROGNEGDECL
ettirir miyim?	ettirmekVIND1SGPRSPOSINTR
yasağın	yasakNNOMSGPSS2S
koşucularım	koşucuNNOMPLPSS1S
peçetelerinden	peçeteNABLPLPSS3S
kartından	kartNABLSGPSS2S
tohumlarımda	tohumNLOCPLPSS1S
sevdin	sevmekVIND2SGPSTPOSDECL
patatesimde	patatesNLOCSGPSS1S
küpelerinden	küpeNABLPLPSS3S
geçinirler mi?	geçinmekVIND3PLPRSPOSINTR
makara	makaraNNOMSG
ece	eceNNOMSG
kefallarımızı	kefalNACCPLPSS1P
parasızlıklarında	parasızlıkNLOCPLPSS2S
avokadonda	avokadoNLOCSGPSS2S
islerinizi	isNACCPLPSS2P
odağın	odakNGENSG
ateşe verecek mi?	ateşe vermekVIND3SGFUTPOSINTR
bahçelerinde	bahçeNLOCPLPSS2S
papyonumuza	papyonNDATSGPSS1P
uzaylarımdan	uzayNABLPLPSS1S
sorumsuzluğunuzda	sorumsuzlukNLOCSGPSS2P
kabuklarımızın	kabukNGENPLPSS1P
kapasitemizin	kapasiteNGENSGPSS1P
tanımadı	tanımakVIND3SGPSTNEGDECL
duş alır mıyım?	duş almakVIND1SGPRSPOSINTR
kefalımızı	kefalNACCSGPSS1P
sönmüyor muyduk?	sönmekVIND1PLPSTPROGNEGINTR
öper miyiz?	öpmekVIND1PLPRSPOSINTR
penislerinin	penisNGENPLPSS2S
sunuyor muydu?	sunmakVIND3SGPSTPROGPOSINTR
sevgililere	sevgiliNDATPL
geçmişine	geçmişNDATSGPSS3S
cihazınızın	cihazNGENSGPSS2P
samurunda	samurNLOCSGPSS2S
arınır mı?	arınmakVIND3SGPRSPOSINTR
rüyama	rüyaNDATSGPSS1S
sonralara	sonraNDATPL
takmadılar mı?	takmakVIND3PLPSTNEGINTR
el sıkışıyor muyduk?	el sıkışmakVIND1PLPSTPROGPOSINTR
ışınımızın	ışınNGENSGPSS1P
ateşe vermeyecek misiniz?	ateşe vermekVIND2PLFUTNEGINTR
yardımcılıklarını	yardımcılıkNACCPLPSS3P
örümceklerin	örümcekNGENPL
zibillerin	zibilNNOMPLPSS2S
tavernadan	tavernaNABLSG
olmazsa olmazlarına	olmazsa olmazNDATPLPSS3S
bellerim	belNNOMPLPSS1S
hemzemin geçidinizden	hemzemin geçitNABLSGPSS2P
mobilyalarının	mobilyaNGENPLPSS3P
dirilmiyor muyduk?	dirilmekVIND1PLPSTPROGNEGINTR
itlerinin	itNGENPLPSS2S
otoculuklarını	otoculukNACCPLPSS2S
sığıyor musun?	sığmakVIND2SGPRSPROGPOSINTR
çizgili sineklerinin	çizgili sinekNGENPLPSS3S
kırmızı şaraplarımıza	kırmızı şarapNDATPLPSS1P
örümcek ağlarını	örümcek ağıNACCPL
canlandırtmıyor	canlandırtmakVIND3SGPRSPROGNEGDECL
öğrencinden	öğrenciNABLSGPSS2S
papalarmışsınız	papaNLGSPEC12PPLLGSPEC2
değirmenin	değirmenNGENSG
çizmecilerini	çizmeciNACCSGPSS3P
süründürmeyecek misin?	süründürmekVIND2SGFUTNEGINTR
Lefkoşalılardan	LefkoşalıNABLPL
coşkusuz değil mi?	coşkusuzADJLGSPEC1PRS3SGNEGINTR
verniklerimi	vernikNACCPLPSS1S
enflasyonların	enflasyonNGENPL
yapıncaklarımızı	yapıncakNACCPLPSS1P
katıyorsun	katmakVIND2SGPRSPROGPOSDECL
bağırsaklarından	bağırsakNABLPLPSS3P
kravatından	kravatNABLSGPSS3S
çalışır mıyız?	çalışmakVIND1PLPRSPOSINTR
yetenekliymişler	yetenekliADJLGSPEC1LGSPEC23PLPOSDECL
okiyamız	okiyaNNOMSGPSS1P
olay güdümlü programlamanda	olay güdümlü programlamaNLOCSGPSS2S
tekilaydınız	tekilaNLGSPEC12PSGPST
meşelerimizde	meşeNLOCPLPSS1P
sokaklarının	sokakNGENPLPSS2S
objelerinde	objeNLOCPLPSS3P
alçak değil mi?	alçakADJLGSPEC1PRS3SGNEGINTR
kediciklerine	kedicikNDATPLPSS3S
otocularından	otocuNABLPLPSS3P
iç ağlarını	iç ağNACCPLPSS3S
kurabiyelerden	kurabiyeNABLPL
köpüklerim	köpükNNOMPLPSS1S
dalağınızdan	dalakNABLSGPSS2P
yendirmiyor muydunuz?	yendirmekVIND2PLPSTPROGNEGINTR
pehlivanda	pehlivanNLOCSG
sorularında	soruNLOCPLPSS2S
neşelerine	neşeNDATPLPSS3S
çıktılar	çıktıNNOMPL
valizlerinden	valizNABLPLPSS2S
paparaziler	paparaziNLGSPEC13SPLPRS
yazanağına	yazanakNDATSGPSS2S
totemcilerinizden	totemciNABLPLPSS2P
boy ölçüşmeyecek miyim?	boy ölçüşmekVIND1SGFUTNEGINTR
dikişinden	dikişNABLSGPSS3S
dürtmüyorsun	dürtmekVIND2SGPRSPROGNEGDECL
kiliselerinden	kiliseNABLPLPSS2S
kovmazlar	kovmakVIND3PLPRSNEGDECL
romanının	romanNGENSGPSS3S
ağaç çividiler	ağaç çiviNLGSPEC13PSGPST
yongamızın	yongaNGENSGPSS1P
kovulduk	kovulmakVIND1PLPSTPOSDECL
baykuşlarımı	baykuşNACCPLPSS1S
ekstremumumuzu	ekstremumNACCSGPSS1P
haşefen	haşefeNNOMSGPSS2S
kıçında	kıçNLOCSGPSS3S
baygnlığım	baygınlıkNNOMSGPSS1S
büktürtüyor muyum?	büktürtmemekVIND1SGPRSPROGPOSINTR
köylülerimizi	köylüNACCPLPSS1P
kapı yapacaklar mı?	kapı yapmakVIND3PLFUTPOSINTR
koyacak mıyım?	koymakVIND1SGFUTPOSINTR
mühendislerdik	mühendisNLGSPEC11PPLPST
mezuniyetinizin	mezuniyetNGENSGPSS2P
babasızlarına	babasızNDATPLPSS3S
lezyonunuza	lezyonNDATSGPSS2P
milyonerlerinden	milyonerNABLSGPSS3P
süperpozisyonunuzdan	süperpozisyonNABLSGPSS2P
mutluluğundan	mutlulukNABLSGPSS2S
asıllarımdan	asılNABLPLPSS1S
bütünleşmeyeceksiniz	bütünleşmekVIND2PLFUTNEGDECL
sönmeyeceksiniz	sönmekVIND2PLFUTNEGDECL
kılmıyordun	kılmakVIND2SGPSTPROGNEGDECL
çıpan	çıpaNNOMSGPSS2S
barajımın	barajNGENSGPSS1S
kloroplastımda	kloroplastNLOCSGPSS1S
ayrımcılıklarından	ayrımcılıkNABLPLPSS3P
aşiretlerim	aşiretNNOMPLPSS1S
psikoterapilerinizden	psikoterapiNABLPLPSS2P
yorumlarına	yorumNDATSGPSS3P
mutlulukları	mutlulukNNOMSGPSS3P
balinayım	balinaNLGSPEC11SSGPRS
şafaklarından	şafakNABLSGPSS3P
şamisenlerde	şamisenNLOCPL
kromozomları	kromozomNACCPL
çalışmıyordular	çalışmakVIND3PLPSTPROGNEGDECL
tatlıyı	tatlıNACCSG
romanından	romanNABLSGPSS3S
ut	utNNOMSG
seçmenim	seçmenNLGSPEC11SSGPRS
bezmiyor muyduk?	bezmekVIND1PLPSTPROGNEGINTR
kolajlarından	kolajNABLPLPSS3P
ritmine	ritmNDATSGPSS3S
sempozyumlarınızın	sempozyumNGENPLPSS2P
çığlıklarının	çığlıkNGENPLPSS3P
acıktırtmıyor muydun?	acıktırtmakVIND2SGPSTPROGNEGINTR
giyerler	giymekVIND3PLPRSPOSDECL
çedarın	çedarNGENSG
güreşçisi	güreşçiNNOMSGPSS3S
yoldurmayacak mı?	yoldurmakVIND3SGFUTNEGINTR
paylaşmıyor muyduk?	paylaşmakVIND1PLPSTPROGNEGINTR
sığdınız	sığmakVIND2PLPSTPOSDECL
dilimlerinize	dilimNDATPLPSS2P
yankımız	yankıNNOMSGPSS1P
mühimliklerine	mühimlikNDATPLPSS2S
yıpranacak mıyız?	yıpranmakVIND1PLFUTPOSINTR
abartır mısın?	abartmakVIND2SGPRSPOSINTR
acemilerinden	acemiNABLPLPSS3S
giysilerimizde	giysiNLOCPLPSS1P
çalışmadan	çalışmaNABLSG
pustu	pusmakVIND3SGPSTPOSDECL
puron	puroNNOMSGPSS2S
eşzamanlı dönüşlere	eşzamanlı dönüşNDATPL
kerevizlerimizi	kerevizNACCPLPSS1P
çaptan	çapNABLSG
temsilciliğimizde	temsilcilikNLOCSGPSS1P
el sıkışırlar	el sıkışmakVIND3PLPRSPOSDECL
çakallarımız	çakalNNOMPLPSS1P
şafağı	şafakNNOMSGPSS3S
balalaykalarına	balalaykaNDATPLPSS3P
jelatinlerimize	jelatinNDATPLPSS1P
sıkmadınız	sıkmakVIND2PLPSTNEGDECL
fotoğrafçılarımızı	fotoğrafçıNACCPLPSS1P
yerküre bilimcilerimizin	yerküre bilimciNGENPLPSS1P
haritasında	haritaNLOCSGPSS3S
diyapazonumuz	diyapazonNNOMSGPSS1P
mazotlarda	mazotNLOCPL
seyreteceğim	seyretmekVIND1SGFUTPOSDECL
takılarmışsınız	takıNLGSPEC12PPLLGSPEC2
midyelerin	midyeNGENPL
heyecanlandırtıyorlardı	heyecanlandırtmakVIND3PLPSTPROGPOSDECL
böreğimin	börekNGENSGPSS1S
amcalarından	amcaNABLSGPSS3P
çamurlarında	çamurNLOCSGPSS3P
rahiplerimde	rahipNLOCPLPSS1S
oynamaz mısın?	oynamakVIND2SGPRSNEGINTR
kiliselerimin	kiliseNGENPLPSS1S
akrebim	akrepNLGSPEC11SSGPRS
alevlerim	alevNNOMPLPSS1S
yerimizden	yerNABLSGPSS1P
sahnenizden	sahneNABLSGPSS2P
Abu Dabililerini	Abu DabiliNACCSGPSS3P
bozunumundan	bozunumNABLSGPSS2S
baygnlığıma	baygınlıkNDATSGPSS1S
yakışıklı değiller mi?	yakışıklıADJLGSPEC1PRS3PLNEGINTR
haberleri	haberNNOMPLPSS3S
klarnetlerine	klarnetNDATSGPSS3P
şerbetçiliklerimi	şerbetçilikNACCPLPSS1S
moleküllerimizde	molekülNLOCPLPSS1P
amaçlarınıza	amaçNDATPLPSS2P
yetkili sunucularından	yetkili sunucuNABLPLPSS3S
kovdurtmaz mısın?	kovdurtmakVIND2SGPRSNEGINTR
tanıtmadın	tanıtmakVIND2SGPSTNEGDECL
anjiyografisinden	anjiyografiNABLSGPSS3S
tabanın	tabanNGENSG
Tiranlımda	TiranlıNLOCSGPSS1S
aynasızlarını	aynasızNACCSGPSS3P
taygalar	taygaNNOMPL
süt sağmaz mı?	süt sağmakVIND3SGPRSNEGINTR
yalın halinizden	yalın halNABLSGPSS2P
ehemmiyetliliklerinin	ehemmiyetlilikNGENPLPSS3P
tarabalarda	tarabaNLOCPL
baygınlıklarımda	baygınlıkNLOCPLPSS1S
vazosundan	vazoNABLSGPSS3S
yıkar mıyım?	yıkmakVIND1SGPRSPOSINTR
batılarımızdan	batıNABLPLPSS1P
taslağının	taslakNGENSGPSS3S
dilimlerinde	dilimNLOCPLPSS3P
türülerini	türüNACCPLPSS2S
isyanları	isyanNNOMPLPSS3S
ilginç değilmiş	ilginçADJLGSPEC1LGSPEC23SGNEGDECL
akılarına	akıNDATPLPSS2S
bilginin	bilgiNGENSGPSS2S
tercümanlarda	tercümanNLOCPL
kargaların	kargaNGENPL
kebabında	kebapNLOCSGPSS2S
omuzları	omuzNACCPL
kuvantum bilgisayarının	kuvantum bilgisayarıNGENSG
yoksullaştırıyor muyuz?	yoksullaştırmakVIND1PLPRSPROGPOSINTR
çavuşlardan	çavuşNABLPL
pisletiyor muydu?	pisletmekVIND3SGPSTPROGPOSINTR
fortlıyor muydum?	fortlamakVIND1SGPSTPROGPOSINTR
verniklemelerimi	verniklemeNACCPLPSS1S
deistlerde	deistNLOCPL
biseksüeliz	biseksüelNLGSPEC11PSGPRS
yetenekli değilmiş	yetenekliADJLGSPEC1LGSPEC23SGNEGDECL
verilecek	verilmekVIND3SGFUTPOSDECL
salacaklar mı?	salmakVIND3PLFUTPOSINTR
dezenfektanlarımıza	dezenfektanNDATPLPSS1P
öğütücülerinden	öğütücüNABLSGPSS3P
yedirttik mi?	yedirtmekVIND1PLPSTPOSINTR
kediciği	kedicikNNOMSGPSS3S
katıyorum	katmakVIND1SGPRSPROGPOSDECL
adlarından	adNABLPLPSS3S
dumanlarından	dumanNABLPLPSS2S
jokeyimizde	jokeyNLOCSGPSS1P
kovulmuyor muydum?	kovulmakVIND1SGPSTPROGNEGINTR
yalamıyor musun?	yalamakVIND2SGPRSPROGNEGINTR
paşa	paşaNNOMSG
seçmeleri	seçmeNNOMPLPSS3S
konserlerini	konserNACCSGPSS3P
kruvasanlarının	kruvasanNGENPLPSS2S
artığınıza	artıkNDATSGPSS2P
izleklerimde	izlekNLOCPLPSS1S
sürdürülebilirlikten	sürdürülebilirlikNABLSG
cüzzamlarının	cüzzamNGENPLPSS3P
laternalarımıza	laternaNDATPLPSS1P
siklerinin	sikNGENPLPSS3P
usullardan	usulNABLPL
hahamlarının	hahamNGENPLPSS3S
ibnelerimin	ibneNGENPLPSS1S
sihirli değilmişsiniz	sihirliADJLGSPEC1LGSPEC22PLNEGDECL
yarasamızın	yarasaNGENSGPSS1P
barışmadık	barışmakVIND1PLPSTNEGDECL
sümürmem	sümürmekVIND1SGPRSNEGDECL
sesçilerimizi	sesçiNACCPLPSS1P
defterlerini	defterNACCPLPSS3P
kılkapanlarına	kılkapanNDATPLPSS3P
kullanılmayacaklar	kullanılmakVIND3PLFUTNEGDECL
ehemmiyetsizliğimin	ehemmiyetsizlikNGENSGPSS1S
alınlarım	alınNNOMPLPSS1S
krizantemlerini	krizantemNACCSGPSS3P
nefes aldırıyor muydu?	nefes aldırmakVIND3SGPSTPROGPOSINTR
ısınıyordu	ısınmakVIND3SGPSTPROGPOSDECL
bedevi	bedeviNNOMSG
odacınıza	odacıNDATSGPSS2P
kesersın	keserNLGSPEC12SSGPRS
mezarlıklarımız	mezarlıkNNOMPLPSS1P
zamanlarının	zamanNGENPLPSS2S
dinliliklerimizin	dinlilikNGENPLPSS1P
evreniniz	evrenNNOMSGPSS2P
bilgisayarlı değil miymiş?	bilgisayarlıADJLGSPEC1LGSPEC23SGNEGINTR
duvarlarımdan	duvarNABLPLPSS1S
camilerinizden	camiNABLPLPSS2P
Siyamlı ikizlerinizin	Siyamlı ikizNGENPLPSS2P
yan tümcelere	yan tümceNDATPL
çalar saatinin	çalar saatNGENSGPSS3S
yetersizliğiniz	yetersizlikNNOMSGPSS2P
nişanlınızda	nişanlıNLOCSGPSS2P
kullandık mı?	kullanmakVIND1PLPSTPOSINTR
büyük babalara	büyük babaNDATPL
kürkelerde	kürkeNLOCPL
yoğurmayacak mıyız?	yoğurmakVIND1PLFUTNEGINTR
patateslerinin	patatesNGENPLPSS2S
masalı	masalNNOMSGPSS3S
ortaklığın	ortaklıkNGENSG
astronotlarını	astronotNACCPLPSS2S
bokslardan	boksNABLPL
dizmeyeceğiz	dizmekVIND1PLFUTNEGDECL
garsonumdan	garsonNABLSGPSS1S
beneğimi	benekNACCSGPSS1S
kozmonotlarınızdan	kozmonotNABLPLPSS2P
anahtar sözcüğü	anahtar sözcükNACCSG
korkutmuyor musunuz?	korkutmakVIND2PLPRSPROGNEGINTR
hata yapmayacak mıyım?	hata yapmakVIND1SGFUTNEGINTR
Hakk'ın rahmetine kavuşuyor muydum?	Hakk'ın rahmetine kavuşmakVIND1SGPSTPROGPOSINTR
Siyamlı ikizlerimi	Siyamlı ikizNACCPLPSS1S
unuma	unNDATSGPSS1S
öpüşmediler mi?	öpüşmekVIND3PLPSTNEGINTR
kıyıyor mu?	kıymakVIND3SGPRSPROGPOSINTR
lehçelerinden	lehçeNABLSGPSS3P
hahamlarmışım	hahamNLGSPEC11SPLLGSPEC2
köpüklerimizin	köpükNGENPLPSS1P
avlarımızda	avNLOCPLPSS1P
mustatilimiz	mustatilNNOMSGPSS1P
noktalı virgülüme	noktalı virgülNDATSGPSS1S
doğru değiller	doğruADJLGSPEC1PRS3PLNEGDECL
rehberlerimde	rehberNLOCPLPSS1S
soymazsınız	soymakVIND2PLPRSNEGDECL
