peynirli pastalarınızı	peynirli pastaNACCPLPSS2P
bisküvilerinizde	bisküviNLOCPLPSS2P
önlerine	önNDATPLPSS3P
sosluğunun	soslukNGENSGPSS3S
sürtüklerinde	sürtükNLOCSGPSS3P
muzlarımıza	muzNDATPLPSS1P
seçmenlerinde	seçmenNLOCPLPSS3S
düldüllerimi	düldülNACCPLPSS1S
güdüme	güdümNDATSG
işkenceciliklerinden	işkencecilikNABLPLPSS3P
zibidilerinden	zibidiNABLPLPSS3S
ritimlerinizde	ritimNLOCPLPSS2P
kömlerimden	kömNABLPLPSS1S
kasidelermiş	kasideNLGSPEC13PPLLGSPEC2
davranışlarınıza	davranışNDATPLPSS2P
intikamım	intikamNNOMSGPSS1S
düşünceliyiz	düşünceliADJLGSPEC1PRS1PLPOSDECL
saydırıyor	saydırmakVIND3SGPRSPROGPOSDECL
konularınızın	konuNGENPLPSS2P
oyunculardık	oyuncuNLGSPEC11PPLPST
şikâyet eder mi?	şikâyet etmekVIND3SGPRSPOSINTR
ağlar mısınız?	ağlamakVIND2PLPRSPOSINTR
gizlemedi mi?	gizlemekVIND3SGPSTNEGINTR
hastanemi	hastaneNACCSGPSS1S
leşlersiniz	leşNLGSPEC12PPLPRS
kaynaştırtılmadın	kaynaştırtılmakVIND2SGPSTNEGDECL
kütükleri	kütükNACCPL
girmediniz	girmekVIND2PLPSTNEGDECL
kazmıyorsun	kazmakVIND2SGPRSPROGNEGDECL
küleklerimiz	külekNNOMPLPSS1P
pancarlarım	pancarNNOMPLPSS1S
kırdırtmayız	kırdırtmakVIND1PLPRSNEGDECL
gelinmeyeceğim	gelinmekVIND1SGFUTNEGDECL
çarşafları	çarşafNNOMPLPSS3P
ölümleri	ölümNACCPL
Lefkoşalısına	LefkoşalıNDATSGPSS3S
piskoposunun	piskoposNGENSGPSS2S
çift sayımızdan	çift sayıNABLSGPSS1P
radyoaktif bozunumlar	radyoaktif bozunumNNOMPL
ayarlatmayacak	ayarlatmakVIND3SGFUTNEGDECL
sünecek	sünmekVIND3SGFUTPOSDECL
canlandırtılmadık	canlandırtılmakVIND1PLPSTNEGDECL
nedenlerim	nedenNNOMPLPSS1S
ezmeyecek mi?	ezmekVIND3SGFUTNEGINTR
koşucularında	koşucuNLOCSGPSS3P
ön eklerden	ön ekNABLPL
abajurcumdan	abajurcuNABLSGPSS1S
şaşırttırmadık mı?	şaşırttırmakVIND1PLPSTNEGINTR
gürzlerine	gürzNDATSGPSS3P
